timestamp,latitude,longitude,altitude,status,service
1704067200000000000,45.464664,9.188540,122.5,1,1
1704067200100000000,45.464671,9.188547,122.6,1,1
1704067200200000000,45.464679,9.188555,122.7,1,1
1704067200300000000,45.464687,9.188562,122.8,1,1
1704067200400000000,45.464694,9.188570,122.9,1,1
1704067200500000000,45.464702,9.188577,123.0,1,1
1704067200600000000,45.464709,9.188585,123.1,1,1
1704067200700000000,45.464717,9.188592,123.2,1,1
1704067200800000000,45.464724,9.188600,123.3,1,1
1704067200900000000,45.464732,9.188607,123.4,1,1
1704067201000000000,45.464739,9.188615,123.5,1,1
1704067201100000000,45.464747,9.188622,123.6,1,1
1704067201200000000,45.464754,9.188630,123.7,1,1
1704067201300000000,45.464762,9.188637,123.8,1,1
1704067201400000000,45.464769,9.188645,123.9,1,1
1704067201500000000,45.464777,9.188652,124.0,1,1
1704067201600000000,45.464784,9.188660,124.1,1,1
1704067201700000000,45.464792,9.188667,124.2,1,1
1704067201800000000,45.464799,9.188675,124.3,1,1
1704067201900000000,45.464807,9.188682,124.4,1,1
1704067202000000000,45.464814,9.188690,124.5,1,1
1704067202100000000,45.464822,9.188697,124.6,1,1
1704067202200000000,45.464829,9.188705,124.7,1,1
1704067202300000000,45.464837,9.188712,124.8,1,1
1704067202400000000,45.464844,9.188720,124.9,1,1
