timestamp,pressure
1704067200000000000,101325.0
1704067200020000000,101324.8
1704067200040000000,101324.6
1704067200060000000,101324.4
1704067200080000000,101324.2
1704067200100000000,101324.0
1704067200120000000,101323.8
1704067200140000000,101323.6
1704067200160000000,101323.4
1704067200180000000,101323.2
1704067200200000000,101323.0
1704067200220000000,101322.8
1704067200240000000,101322.6
1704067200260000000,101322.4
1704067200280000000,101322.2
1704067200300000000,101322.0
1704067200320000000,101321.8
1704067200340000000,101321.6
1704067200360000000,101321.4
1704067200380000000,101321.2
1704067200400000000,101321.0
1704067200420000000,101320.8
1704067200440000000,101320.6
1704067200460000000,101320.4
1704067200480000000,101320.2
